x,y,vx,vy
2.01,0,5,0.11
2.02,0,5,0.12
2.03,0,5,0.13
2.05,0,5,0.14
2.06,0.01,5,0.15
2.07,0.01,5,0.16
2.09,0.01,5,0.17
2.11,0.01,5,0.18
2.13,0.01,5,0.19
2.14,0.01,5,0.2
2.16,0.01,5,0.21
2.19,0.02,5,0.22
2.21,0.02,5,0.23
2.23,0.02,5,0.24
2.25,0.02,5,0.25
2.28,0.02,5,0.26
2.3,0.03,5,0.27
2.33,0.03,5,0.28
2.36,0.03,5,0.29
2.39,0.03,5,0.3
2.42,0.04,5,0.31
2.45,0.04,5,0.32
2.48,0.04,5,0.33
2.51,0.04,5,0.34
2.55,0.05,5,0.35
2.58,0.05,5,0.36
2.62,0.05,5,0.37
2.66,0.06,5,0.38
2.69,0.06,5,0.39
2.73,0.06,5,0.4
2.77,0.07,5,0.41
2.81,0.07,5,0.42
2.85,0.07,5,0.43
2.9,0.08,5,0.44
2.94,0.08,5,0.45
2.99,0.09,5,0.46
3.03,0.09,5,0.47
3.08,0.09,5,0.48
3.13,0.1,5,0.49
3.18,0.1,5,0.5
3.23,0.11,5,0.51
3.28,0.11,5,0.52
