x,y,vx,vy
0,15,0,0.01
0,15,0,0.02
0,15,0,0.03
0.01,15,0,0.04
0.01,15,0,0.05
0.02,15,0,0.06
0.02,15,0,0.07
0.03,15,0,0.08
0.04,15,0,0.09
0.05,15,0,0.1
0.06,15,0,0.11
0.07,15,0,0.12
0.08,15,0,0.13
0.09,15,0,0.14
0.11,15,0,0.15
0.12,15,0,0.16
0.14,15,0,0.17
0.15,15,0,0.18
0.17,15,0,0.19
0.19,15,0,0.2
0.21,15,0,0.21
0.23,15,0,0.22
0.25,15,0,0.23
0.28,15,0,0.24
0.3,15,0,0.25
0.33,15,0,0.26
0.35,15,0,0.27
0.38,15,0,0.28
0.41,15,0,0.29
0.44,15,0,0.3
0.47,15,0,0.31
0.5,15,0,0.32
0.53,15,0,0.33
0.56,15,0,0.34
0.6,15,0,0.35
0.63,15,0,0.36
0.67,15,0,0.37
0.7,15,0,0.38
0.74,15,0,0.39
0.78,15,0,0.4
0.82,15,0,0.41
0.86,15,0,0.42
0.9,15,0,0.43
0.95,15,0,0.44
0.99,15,0,0.45
1.04,15,0,0.46
1.08,15,0,0.47
1.13,15,0,0.48
1.18,15,0,0.49
1.23,15,0,0.5
1.28,15,0,0.51
1.33,15,0,0.52
1.38,15,0,0.53
1.43,15,0,0.54
1.49,15,0,0.55
1.54,15,0,0.56
1.6,15,0,0.57
1.65,15,0,0.58
1.71,15,0,0.59
1.77,15,0,0.6
1.83,15,0,0.61
1.89,15,0,0.62
1.95,15,0,0.63
2.02,15,0,0.64
2.08,15,0,0.65
2.15,15,0,0.66
2.21,15,0,0.67
2.28,15,0,0.68
2.35,15,0,0.69
2.42,15,0,0.7
2.49,15,0,0.71
2.56,15,0,0.72
2.63,15,0,0.73
2.7,15,0,0.74
2.78,15,0,0.75
2.85,15,0,0.76
2.93,15,0,0.77
3,15,0,0.78
3.08,15,0,0.79
3.16,15,0,0.8
3.24,15,0,0.81
3.32,15,0,0.82
3.4,15,0,0.83
3.49,15,0,0.84
3.57,15,0,0.85
3.65,15,0,0.86
3.74,15,0,0.87
3.83,15,0,0.88
3.92,15,0,0.89
4,15,0,0.9
4.09,15,0,0.91
4.19,15,0,0.92
4.28,15,0,0.93
4.37,15,0,0.94
4.46,15,0,0.95
4.56,15,0,0.96
4.66,15,0,0.97
4.75,15,0,0.98
4.85,15,0,0.99
4.95,15,0,1
5.05,15,0,1.01
5.15,15,0,1.02
5.25,15,0,1.03
5.36,15,0,1.04
5.46,15,0,1.05
5.56,15,0,1.06
5.67,15,0,1.07
5.78,15,0,1.08
5.89,15,0,1.09
5.99,15,0,1.1
6.1,15,0,1.11
6.22,15,0,1.12
6.33,15,0,1.13
6.44,15,0,1.14
6.55,15,0,1.15
6.67,15,0,1.16
6.79,15,0,1.17
6.9,15,0,1.18
7.02,15,0,1.19
7.14,15,0,1.2
7.26,15,0,1.21
7.38,15,0,1.22
7.5,15,0,1.23
7.63,15,0,1.24
7.75,15,0,1.25
7.87,15,0,1.26
8,15,0,1.27
8.13,15,0,1.28
8.26,15,0,1.29
8.38,15,0,1.3
8.51,15,0,1.31
8.65,15,0,1.32
8.78,15,0,1.33
8.91,15,0,1.34
9.04,15,0,1.35
9.18,15,0,1.36
9.32,15,0,1.37
9.45,15,0,1.38
9.59,15,0,1.39
9.73,15,0,1.4
9.87,15,0,1.41
10.01,15,0,1.42
10.15,15,0,1.43
10.3,15,0,1.44
10.44,15,0,1.45
10.58,15,0,1.46
10.73,15,0,1.47
10.88,15,0,1.48
11.03,15,0,1.49
11.17,15,0,1.5
11.32,15,0,1.51
11.48,15,0,1.52
11.63,15,0,1.53
11.78,15,0,1.54
11.93,15,0,1.55
12.09,15,0,1.56
12.25,15,0,1.57
12.4,15,0,1.58
12.56,15,0,1.59
12.72,15,0,1.6
12.88,15,0,1.61
13.04,15,0,1.62
13.2,15,0,1.63
13.37,15,0,1.64
13.53,15,0,1.65
13.69,15,0,1.66
13.86,15,0,1.67
14.03,15,0,1.68
14.2,15,0,1.69
14.36,15,0,1.7
14.53,15,0,1.71
14.71,15,0,1.72
14.88,15,0,1.73
15.05,15,0,1.74
15.22,15,0,1.75
15.4,15,0,1.76
15.58,15,0,1.77
15.75,15,0,1.78
15.93,15,0,1.79
16.11,15,0,1.8
16.29,15,0,1.81
16.47,15,0,1.82
16.65,15,0,1.83
16.84,15,0,1.84
17.02,15,0,1.85
17.2,15,0,1.86
17.39,15,0,1.87
17.58,15,0,1.88
17.77,15,0,1.89
17.95,15,0,1.9
18.14,15,0,1.91
18.34,15,0,1.92
18.53,15,0,1.93
18.72,15,0,1.94
18.91,15,0,1.95
19.11,15,0,1.96
19.31,15,0,1.97
19.5,15,0,1.98
19.7,15,0,1.99
19.9,15,0,2
20.1,15,0,2.01
20.3,15,0,2.02
20.5,15,0,2.03
20.71,15,0,2.04
20.91,15,0,2.05
21.11,15,0,2.06
